playlist_id,playlist_name,track_id,track_name,artist_ids,artist_names,preview_url,duration_ms,popularity
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,['3WrFJ7ztbogyGnTHbHJFl2'],['The Beatles'],,155226,75
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),['64tNsm6TnZe2zpcMVMOoHL'],['Alice In Chains'],,206773,78
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2HXixVqzzm9rEUIMAWzshl,I Hate Myself for Loving You,['1Fmb52lZ6Jv7FMWXXTPO3K'],['Joan Jett & the Blackhearts'],,246800,68
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,['1co4F2pPNH8JjTutZkmgSm'],['Ramones'],,134466,71
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,['7dnB1wSxbYa8CejeVg98hz'],['Meat Loaf'],,509315,65
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,['2xiIXseIJcq3nG7C8fHeBj'],['Three Days Grace'],,231400,82
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,5Z8EDau8uNcP1E8JvmfkZe,School's Out,['3EhbVgyfGd7HkpsagwL9GS'],['Alice Cooper'],,210106,67
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,"['3AA28KZvwAUcZuOKwyblJQ', '1Z8ODXyhEBi3WynYw0Rya6']","['Gorillaz', 'De La Soul']",,222640,90
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,7nnWIPM5hwE3DaUBkvOIpy,Drive,['3YcBF2ttyueytpXtEzn1Za'],['Incubus'],,232453,80
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,3vPrFUtWpKT9oNW94NDDEW,Don't Know What You Got (Till It's Gone),['7HL4id2U7FSDJtfKQHMgQx'],['Cinderella'],,354640,0
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,['1dLWg6m8RRhizsdqJbhyj3'],['Quiet Riot'],,290960,70
1ti3v0lLrJ4KhSTuxt4loZ,Top Classic Rock Hits Of All Time,2eEmzSR9tmd52w7cqT9yK6,Hold On Loosely,['3zXw2Eh96iTT51pytzHdZi'],['38 Special'],,279240,43
